Price,Date,Open,High,Low,Close,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
696,2017-10-30,414.2245725855957,419.3469447863989,412.7167020976662,417.9942932128906,7823263
697,2017-10-31,419.08088075716967,419.4356668688955,413.42629947164306,417.2625427246094,9504986
698,2017-11-01,420.3226402442393,424.7797589646441,419.4356454053318,422.451416015625,17571371
699,2017-11-02,422.5623032181099,424.20324817509817,418.770408274653,419.8126220703125,10277678
700,2017-11-03,423.95929233981377,423.95929233981377,416.9520892656899,419.236083984375,4798537
701,2017-11-06,417.99430039934794,417.99430039934794,412.0071073959955,413.559326171875,9757496
702,2017-11-07,413.93632430917336,414.66807064727834,400.4984157810259,402.1171569824219,20447574
703,2017-11-08,400.2545094538494,401.80672829623586,392.09419205163687,393.735107421875,17752793
704,2017-11-09,396.8173788249037,403.5363476761895,395.6199461595708,399.36749267578125,15007224
705,2017-11-10,399.5670669702896,399.5670669702896,389.9210534785723,391.9833068847656,13923102
706,2017-11-13,392.49332462108424,395.5534436328341,387.3931262681677,388.16925048828125,9088619
707,2017-11-14,388.0583588185482,396.9282479225255,387.1713639871543,393.24725341796875,12481463
708,2017-11-15,392.27156465736397,394.9768678257711,389.36666470671344,391.9167785644531,15272059
709,2017-11-16,392.71503729248457,401.80669713708545,392.71503729248457,400.8531799316406,15160866
710,2017-11-17,407.5499503199221,410.188730872283,402.91540934912695,404.4233093261719,12219276
711,2017-11-20,401.8954105778593,409.9448570349237,401.3632314296139,408.3926086425781,9231195
712,2017-11-21,411.03142809982904,416.73032796242927,410.4548710715787,413.5815124511719,13082246
713,2017-11-22,415.7545956858044,416.28680439839786,409.54566180042997,412.783203125,11058315
714,2017-11-23,412.894151776828,421.2762111451332,410.9649429372998,419.9900817871094,16031638
715,2017-11-24,421.32048823340455,425.53369133943977,420.16740387222455,421.8083190917969,13987125
716,2017-11-27,420.10088119537977,424.6466962472127,418.65950354115483,421.919189453125,10237135
717,2017-11-28,421.2540028139037,421.91922677009313,416.0429337988408,418.37127685546875,10153618
718,2017-11-29,417.705996750598,421.3204984361353,417.32903653271177,419.5465087890625,8038351
719,2017-11-30,417.5286359279725,417.5286359279725,407.7939254582601,408.7030944824219,20637767
720,2017-12-01,409.98918345620234,413.0049539505473,402.5606426728081,403.6250305175781,11114967
721,2017-12-04,405.1329381276933,405.2659829198721,397.9704862471891,399.8553466796875,10103208
722,2017-12-05,399.6113552553173,408.34819845391655,397.12779373017617,405.2215576171875,18306627
723,2017-12-06,403.58071172264016,412.58364599799967,403.0485029589091,410.96490478515625,24078081
724,2017-12-07,412.4727774490394,415.11158793960897,409.3461360604556,413.1380310058594,12095301
725,2017-12-08,414.15806638793333,415.53289214583106,407.59434583444363,408.4591369628906,12224184
726,2017-12-11,409.10216501931774,410.67658736801945,405.1550516881844,406.3081359863281,10792248
727,2017-12-12,406.2194889394363,412.0071148686445,402.69371322950445,406.06427001953125,15782031
728,2017-12-13,406.64084040496624,410.210964495055,403.8911592041954,405.6429748535156,9147866
729,2017-12-14,407.5721720223421,410.18877875119625,403.02632703664835,408.680908203125,10983157
730,2017-12-15,412.89408189561016,413.7589025674768,406.9955857069649,407.9047546386719,24408414
731,2017-12-18,404.4455303466906,413.62585762698393,382.58121498440875,408.4591369628906,18581421
732,2017-12-19,409.6122052762609,411.1200756547919,408.0156087766599,410.6544189453125,8891691
733,2017-12-20,410.63229930422,411.29752326317526,406.6851853944885,407.1951904296875,10443493
